State,2008,2007,2006,2005,2004,2003,2002,2001,2000,1 Apr 2000 Estimates Base,Census
AL,4661900,4626595,4587564,4537299,4506574,4486598,4469906,4462832,4451687,4447355,4447100
AK,686293,681111,676301,668625,660975,650426,642391,633160,627428,626931,626932
AZ,6500180,6353421,6178251,5961239,5750475,5585512,5449195,5303632,5166810,5130607,5130632
AR,2855390,2830557,2804199,2768918,2740191,2717909,2701889,2689601,2678217,2673386,2673400
CA,36756666,36377534,36121296,35885415,35629666,35307398,34916495,34507030,33998767,33871650,33871648
CO,4939456,4842770,4751474,4662734,4600050,4548339,4503156,4431918,4327788,4302015,4301261
CT,3501252,3489868,3487896,3478714,3475351,3467932,3448261,3428208,3411714,3405604,3405565
DE,873092,861953,850366,838519,825682,814262,803774,794498,786404,783595,783600
DC,591833,587868,585419,582049,579521,577371,579112,577678,571723,572053,572059
FL,18328340,18199526,18019093,17702476,17313811,16937337,16652679,16340734,16047246,15982813,15982378
GA,9685744,9523297,9318715,9093958,8910741,8732924,8583674,8418592,8230053,8186812,8186453
HI,1288198,1277356,1275264,1264468,1251532,1238333,1227391,1217955,1211479,1211538,1211537
ID,1523816,1496145,1461183,1424127,1390329,1363010,1341408,1320732,1299474,1293955,1293953
IL,12901563,12825809,12759673,12704063,12665718,12611047,12565228,12510596,12437888,12419660,12419293
IN,6376792,6335862,6294124,6248569,6210801,6178828,6146974,6123942,6091392,6080522,6080485
IA,3002555,2983360,2967270,2951775,2942739,2933407,2929395,2929294,2928046,2926381,2926324
KS,2802134,2777382,2756267,2742204,2731069,2722070,2712561,2701346,2692681,2688816,2688418
KY,4269245,4236308,4199440,4165958,4135567,4110922,4086754,4066442,4048831,4042284,4041769
LA,4410796,4373310,4243634,4495627,4487830,4473558,4465215,4460395,4468879,4468968,4468976
ME,1316456,1315398,1313355,1311044,1307904,1302729,1293667,1284663,1277179,1274922,1274923
MD,5633597,5618899,5602258,5575552,5538989,5495009,5439327,5375659,5310451,5296516,5296486
MA,6497967,6467915,6443424,6434343,6437414,6441440,6433043,6407269,6362583,6349113,6349097
MI,10003422,10049790,10083878,10093266,10090280,10065881,10037303,10004341,9955146,9938492,9938444
MN,5220393,5182360,5143134,5104890,5078014,5046708,5016643,4982339,4933787,4919492,4919479
MS,2938618,2921030,2896713,2898209,2884596,2866711,2858013,2853061,2848293,2844666,2844658
MO,5911605,5878399,5832977,5785130,5742650,5704639,5675641,5641994,5605868,5596678,5595211
MT,967440,956624,945428,934888,925969,916754,909859,905854,903283,902190,902195
NE,1783432,1769473,1759779,1751069,1741450,1732873,1724236,1717705,1713194,1711266,1711263
NV,2600167,2554344,2484196,2401671,2323875,2233830,2164518,2093973,2018244,1998257,1998257
NH,1315809,1312256,1308824,1300530,1292064,1281260,1270701,1256625,1240361,1235785,1235786
NJ,8682661,8653126,8640218,8634657,8620770,8589562,8547410,8490942,8430913,8414360,8414350
NM,1984356,1964402,1937916,1912884,1889266,1867909,1848986,1828330,1820704,1819041,1819046
NY,19490297,19429316,19367028,19336376,19301113,19230877,19161573,19088220,18998429,18976816,18976457
NC,9222414,9041594,8845343,8661061,8523199,8409660,8311263,8199913,8078824,8046500,8049313
ND,641481,637904,636453,635222,636196,632689,633521,636211,641183,642195,642200
OH,11485910,11477641,11458390,11450954,11445095,11430306,11410582,11391298,11363719,11353160,11353140
OK,3642361,3608123,3568132,3530087,3511960,3496157,3482946,3463387,3453861,3450640,3450654
OR,3790060,3735549,3680968,3621939,3576262,3551877,3517982,3470716,3430828,3421437,3421399
PA,12448279,12419930,12388055,12351881,12335652,12317647,12298775,12284522,12285041,12281052,12281054
RI,1050788,1053136,1058991,1064439,1071095,1071302,1065937,1058065,1050725,1048319,1048319
SC,4479800,4404914,4324799,4249385,4196799,4143420,4102211,4061844,4023396,4011809,4012012
SD,804194,795689,787380,779315,773539,766440,761709,758705,755657,754837,754844
TN,6214888,6149116,6068306,5983211,5906936,5849563,5799093,5753497,5703094,5689270,5689283
TX,24326974,23843432,23367534,22811128,22424884,22062119,21713397,21333928,20946049,20851811,20851820
UT,2736424,2668925,2585155,2501262,2439852,2380462,2334462,2291066,2244210,2233204,2233169
VT,621270,620748,620196,619282,618432,616702,614994,612134,609876,608826,608827
VA,7769089,7698775,7628347,7546725,7454688,7363300,7276785,7188251,7104354,7079025,7078515
WA,6549224,6449511,6360529,6254579,6179645,6110202,6055613,5987181,5911104,5894143,5894121
WV,1814468,1809836,1806760,1804020,1803312,1802287,1799392,1798540,1806977,1808345,1808344
WI,5627967,5598893,5568505,5538806,5508789,5474360,5444638,5408061,5374133,5363708,5363675
WY,532668,523252,512573,506007,502816,499056,496969,492924,493963,493782,493782
