State,Tractor,Farm,Pickup,Van,SUV,OtherLight
AL,97435,27827,1266930,261545,801407,
AK,4289,553,205445,50485,165766,4040
AZ,28343,1300,875895,309599,835086,9110
AR,30154,40947,574398,125793,348440,4522
CA,132393,,4029168,2397063,5359602,51836
CO,8812,70738,285302,97172,363410,3319
CT,2431,,297989,210587,515048,4973
DE,1446,3272,49978,31503,76376,7867
DC,218,,5493,9271,23309,430
FL,277142,,2170063,1267615,2876850,26140
GA,87629,,1687071,617179,1583673,20099
HI,1105,,183947,78367,174837,2378
ID,15883,,393814,77392,217224,3518
IL,72231,29890,1114581,942891,1686430,14795
IN,58316,46475,1022469,554502,848733,10909
IA,59394,31940,719092,287202,403425,5529
KS,29221,88613,639697,332998,382647,8637
KY,27993,162296,784261,239524,486080,6375
LA,40744,125164,1038514,208660,635976,7124
ME,3957,6856,234649,71841,166224,2067
MD,17646,11803,537757,402397,852335,9526
MA,13012,9830,565160,426812,1005274,10977
MI,19947,42217,1181032,800961,1386778,11010
MN,35709,33012,807048,426970,695818,11579
MS,8866,,476262,93731,257153,3816
MO,48650,74517,956435,382678,736924,8720
MT,19579,136511,261638,50155,138099,2202
NE,39144,157282,388698,137082,272944,3642
NV,8297,,248206,81233,279335,2483
NH,5848,1963,215848,91526,220633,3148
NJ,14660,14090,482819,564183,1204691,15121
NM,13080,18902,409696,90313,268869,3262
NY,7446,24988,503947,526392,1072457,14087
NC,51022,71240,1029322,406406,921035,11922
ND,9495,38705,167682,46788,83590,1247
OH,42662,29028,1550255,1000594,1612199,16072
OK,12829,154388,779197,179370,420808,6738
OR,21980,17556,684994,241798,543959,8192
PA,77121,,1195772,808629,1753191,17063
RI,3738,,87033,60515,134338,1179
SC,21649,29796,656845,234715,609301,7263
SD,19183,,184423,56888,107030,1596
TN,64160,37683,996528,322834,785604,8173
TX,182426,178988,4161931,1090942,3442943,30643
UT,53032,75556,500878,164415,454522,5513
VT,3069,2687,115352,38587,103064,1018
VA,41731,20405,901485,470611,1091780,10944
WA,38226,18952,1069330,438405,958866,13775
WV,11230,2790,326741,82691,225828,2037
WI,41210,66587,859733,513858,776086,8752
WY,4595,3596,277613,41471,153015,2397
