state,tractor,farm,pickup,van,suv,other_light
AL,39182,28271,1184860,301698,977889,5095
AK,4894,507,227128,61319,199041,792
AZ,45364,1789,1020021,398682,1077563,6145
AR,40864,19482,712285,155665,508631,2076
CA,270595,,4307036,2112219,5717569,26306
CO,31055,69585,858848,293750,1252370,3496
CT,7014,5957,279775,206466,635895,2060
DE,3211,905,135396,81539,220330,719
DC,45,,11915,22143,66208,130
FL,70061,3277,2272723,1246140,3452431,18964
GA,72596,,1499752,569633,1669627,9764
HI,2876,,260038,105766,271658,990
ID,22800,18672,455517,110334,329584,1654
IL,150044,30608,1244064,1002543,2303020,6112
IN,217727,46881,1121186,568724,1169950,4147
IA,77635,33915,794986,316654,640883,1865
KS,48794,79903,566307,201442,458181,1645
KY,30642,168572,853445,280885,714814,3017
LA,34579,15469,1120913,210388,813507,3107
ME,8953,,261423,87807,241281,864
MD,12917,28174,470872,345526,896164,2973
MA,13838,,530436,398385,1233961,3873
MI,69829,,1241064,781623,1781459,3602
MN,70933,51171,897889,486027,1044162,2972
MS,30449,23571,559290,116411,386112,1275
MO,72004,,1213130,486585,1114962,3990
MT,24829,18707,416802,95218,263496,1166
NE,60674,173656,422209,148635,373745,1030
NV,8150,,399014,132090,509003,2300
NH,4803,,215686,96918,290733,861
NJ,42513,12835,629848,714724,1957107,8570
NM,14951,5869,490544,108065,357979,1596
NY,39964,,993383,977323,2595154,9529
NC,74713,42679,1496234,610491,1667108,7576
ND,36383,37506,218441,56739,150242,341
OH,101406,25755,1564018,957128,2045880,7080
OK,69464,152114,786731,246280,662332,2065
OR,27086,69457,767895,287676,747213,5202
PA,74767,10611,1450219,909999,2393177,8993
RI,2433,1503,91454,64938,177165,703
SC,22588,30991,760223,292768,854376,3314
SD,25692,,249895,75132,181207,554
TN,48377,38215,1211150,403045,1122563,5539
TX,251332,181414,4896287,1198671,4618665,11790
UT,32694,3435,391591,139306,409550,2055
VT,3710,2801,121080,40133,130484,322
VA,34599,15770,1132457,580151,1612043,5160
WA,43597,20316,1099678,453913,1211488,7576
WV,8778,3032,366229,93616,325076,982
WI,67805,67508,867451,506329,1033916,2467
WY,11036,3102,273161,45366,170027,580
