State,Democratic,Republican,Other
AL,795696,1255925,22717
AK,122640,164676,13179
AZ,1025232,1233654,40368
AR,394409,647744,27315
CA,7854285,4839958,344304
CO,1323102,1185243,61177
CT,905083,634892,18985
DE,242584,165484,5853
DC,267070,21381,5313
FL,4237756,4163447,72976
GA,1773827,2078688,47535
HI,306658,121015,7024
ID,212787,420911,18576
IL,3019512,2135216,87286
IN,1152887,1420543,51104
IA,822544,730617,29019
KS,440726,692634,26611
KY,679370,1087190,30652
LA,809141,1152262,32662
ME,401306,292276,19598
MD,1677844,971869,57614
MA,1921290,1188314,58163
MI,2564569,2115256,51136
MN,1546167,1320225,70169
MS,562949,710746,11889
MO,1223796,1482440,51087
MT,201839,267928,14281
NE,302081,475064,17234
NV,531373,463567,19978
NH,369561,329918,11493
NJ,2125101,1477568,37623
NM,415335,335788,32635
NY,4485741,2490431,104987
NC,2178391,2270395,56586
ND,124827,188163,9637
OH,2827710,2661433,91697
OK,443547,891325,0
OR,970488,754175,64607
PA,2990274,2680434,82962
RI,279677,157204,9168
SC,865941,1071645,26532
SD,145039,210610,8166
TN,960709,1462330,35538
TX,3308124,4569843,115884
UT,251813,740600,25027
VT,199239,92698,7353
VA,1971820,1822522,60147
WA,1755396,1290670,79450
WV,238269,417655,14514
WI,1620985,1407966,39483
WY,69286,170962,8813
